vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount
CMT,1,1,1597,13.2,CRD,36.5
CMT,1,1,783,2,CRD,9
CMT,1,1,522,1.2,CSH,7.5
CMT,1,2,641,1,CSH,8
CMT,1,1,837,1.4,CRD,10
CMT,1,1,327,1.2,CRD,6.5
CMT,1,1,1244,3.8,CRD,16.5
CMT,1,1,1110,3.8,CRD,16
CMT,1,1,438,1,CSH,7
CMT,1,1,802,1.7,CRD,10.5
CMT,1,1,717,3.2,CRD,12
CMT,1,1,317,1.2,CRD,6
CMT,1,1,659,2.9,CSH,11.5
CMT,1,2,291,1.3,CSH,6
CMT,5,1,41,0,CRD,7
CMT,1,1,213,0.7,CRD,4.5
CMT,1,1,580,1.8,CRD,9
CMT,1,1,1222,4,CSH,16.5
CMT,1,1,136,1,CSH,4.5
CMT,1,1,419,1,CSH,6.5
CMT,1,1,303,0.6,CSH,5
CMT,1,1,1945,9.4,CRD,30.5
CMT,1,1,394,0.8,CSH,6
CMT,1,1,848,2,CSH,11.5
CMT,1,1,98,0.4,CRD,3.5
CMT,1,1,355,0.5,CRD,5.5
CMT,1,1,567,1.4,CRD,8
CMT,1,2,1020,8,CRD,24
CMT,1,1,1950,4.3,CRD,22
CMT,1,1,940,1,CSH,10.5
CMT,1,3,591,1.1,CSH,7.5
CMT,1,4,312,0.9,CSH,6
CMT,1,1,478,1.2,CSH,7
CMT,1,1,421,1.3,CSH,7
CMT,1,1,985,1.9,CRD,11.5
CMT,1,1,341,1.3,CSH,6.5
CMT,1,2,381,1.3,CSH,6.5
CMT,1,2,219,1,CSH,5
CMT,1,1,1012,4.1,CRD,15.5
CMT,1,1,817,2.7,CSH,11.5
CMT,1,1,117,0.4,CSH,3.5
CMT,1,1,1173,4.1,CRD,16
CMT,1,1,1673,4.3,CSH,20.5
CMT,1,2,1540,1.7,CSH,16
CMT,1,1,934,1.7,CRD,11
CMT,1,1,437,1,CRD,6.5
CMT,1,1,991,2.8,CSH,13
CMT,2,3,1879,17.6,CSH,52
CMT,1,1,171,0.4,CRD,4
VTS,1,1,660,1.78,CSH,9.5
VTS,1,1,1200,5.11,CSH,18.5
VTS,1,1,180,0.45,CRD,4.5
VTS,1,1,840,3.11,CRD,13
VTS,1,1,720,2.52,CRD,11
VTS,1,1,120,0.51,CSH,3.5
VTS,1,1,300,0.89,CSH,5
VTS,1,1,600,2.13,CRD,10
VTS,1,1,660,4.36,CSH,14
VTS,1,1,900,2.48,CRD,11.5
VTS,1,1,480,2.11,CSH,8.5
VTS,1,1,480,1.91,CRD,8.5
VTS,1,1,900,1.77,CRD,11
VTS,1,1,540,3.28,CRD,12
CMT,1,1,383,0.8,CSH,6.5
